Lat,Lon,distance,distance [m]
55.66598,12.57587,0.0,0.0
55.66611,12.57606,0.018733614862847935,18.733614862847933
55.66642,12.57633,0.05713863355985491,57.13863355985491
55.66656,12.57636,0.07281922785155064,72.81922785155064
55.6667,12.5766,0.09447310723315569,94.47310723315569
55.667,12.57699,0.13583753859824413,135.83753859824412
55.66714,12.57721,0.1566390109441795,156.63901094417952
55.66722,12.57727,0.16629772450384603,166.29772450384604
55.66731,12.5774,0.1792058321183268,179.2058321183268
55.66733,12.57746,0.1835767097317207,183.57670973172068
55.66756,12.57771,0.21357479958552789,213.5747995855279
55.66767,12.57792,0.23154843781916085,231.54843781916085
55.66778,12.57808,0.24736904254663028,247.36904254663028
55.66788,12.5782,0.2607957812987482,260.7957812987482
55.66795,12.57826,0.2694412250092952,269.4412250092952
55.6681,12.57847,0.2906929833827011,290.69298338270113
55.66822,12.57858,0.3057141001044137,305.71410010441366
55.66834,12.57881,0.3253633381031585,325.36333810315847
55.66857,12.5791,0.3567451923332925,356.7451923332925
55.66869,12.57924,0.37271793154026817,372.7179315402682
55.66874,12.57926,0.37841740135392543,378.4174013539254
55.66885,12.57942,0.39423783206636764,394.2378320663676
55.66892,12.57949,0.40317402241383915,403.17402241383917
55.66908,12.5796,0.4222557565665778,422.2557565665778
55.6694,12.57971,0.45850067010233486,458.5006701023349
55.66947,12.57976,0.46689213926247675,466.89213926247675
55.66959,12.57988,0.48221126178050205,482.21126178050207
55.6697,12.58002,0.49726737029209916,497.26737029209914
55.66972,12.58011,0.5033336064213014,503.33360642130145
55.66979,12.58025,0.5150665804644725,515.0665804644725
55.66981,12.5804,0.5247323565301703,524.7323565301703
55.66979,12.58049,0.5307985805817266,530.7985805817266
55.66973,12.58062,0.5413328679433645,541.3328679433646
55.66969,12.58067,0.5467747678988975,546.7747678988975
55.66963,12.58079,0.5568316164644094,556.8316164644094
55.66952,12.58096,0.5730568883726547,573.0568883726547
55.66949,12.58108,0.5812883474081284,581.2883474081284
55.66945,12.58117,0.5884742242910093,588.4742242910093
55.66943,12.5813,0.596924454493417,596.924454493417
55.66937,12.58141,0.6065211203886057,606.5211203886057
55.66934,12.58161,0.6194992525094479,619.499252509448
55.66929,12.58172,0.6283590167603395,628.3590167603395
55.66922,12.58203,0.6492996493043438,649.2996493043438
55.66914,12.58221,0.6636714687761773,663.6714687761773
55.66908,12.5823,0.6724102389660371,672.4102389660371
55.66898,12.58235,0.6839633823540777,683.9633823540777
55.66888,12.58232,0.6952409208975394,695.2409208975395
